cle,defaut_registre,statut_lecture,phase_prouvee,unites_compilation_lectrices,references_source
SINK_FLOOR,500,lecture moteur presente,non certifiee individuellement,scps\scps_credit.c; scps\scps_econ.c,scps\scps_credit.c:294; scps\scps_credit.c:319; scps\scps_credit.c:330; scps\scps_credit.c:449; scps\scps_credit.c:509; scps\scps_credit.c:626; scps\scps_credit.c:662; scps\scps_credit.c:878; scps\scps_credit.c:968; scps\scps_econ.c:3083; scps\scps_econ.c:4102
SINK_MONTHS,0,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:3084
PL_SINK_MONTHS,0,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.c:4105; scps\scps_econ.h:919
PL_SINK_FLOOR,0,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.c:4103; scps\scps_econ.h:918
PL_LEGACY,0,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4075
PL_EXPONENT,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c; scps\scps_ai.c; scps\scps_api.c; scps\scps_army.c; scps\scps_campaign.c; scps\scps_credit.c; scps\scps_decrees.c; scps\scps_demography.c; scps\scps_diplo.c; scps\scps_doctrines.c; scps\scps_econ.c; scps\scps_endgame.c; scps\scps_events.c; scps\scps_factions.c; scps\scps_fog.c; scps\scps_influence.c; scps\scps_intertrade.c; scps\scps_labor.c; scps\scps_legitimacy.c; scps\scps_missions.c; scps\scps_navy.c; scps\scps_prosperity.c; scps\scps_readout.c; scps\scps_religion.c; scps\scps_render.c; scps\scps_revolt.c; scps\scps_routes.c; scps\scps_save.c; scps\scps_sim.c; scps\scps_statecraft.c; scps\scps_toponym.c; scps\scps_trade.c; scps\scps_warhost.c; scps\scps_world.c,scps\scps_econ.c:4078; scps\scps_econ.h:934
INVEST_SPEND_FRAC,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5711
ROAD_SPEND_FRAC,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5734
UPKEEP_SHARE_LAB,0.33340001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4790
UPKEEP_SHARE_BOURG,0.33329999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:4790
TAX_EXEMPT_BASKET_MULT,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:152; scps\scps_econ.c:2763; scps\scps_econ.c:2764; scps\scps_econ.c:3759; scps\scps_econ.c:3759; scps\scps_econ.c:4738; scps\scps_econ.c:4738
TAX_BASE_LABORER,0.059999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2735; scps\scps_econ.c:3140; scps\scps_econ.c:4019
TAX_BASE_BOURGEOIS,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2736; scps\scps_econ.c:4020
TAX_BASE_ELITE,0.27000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:2737; scps\scps_econ.c:4021
IMPORT_MARGIN_OWN,1.2999999,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_doctrines.c:59; scps\scps_intertrade.c:1053
IMPORT_MARGIN_THIRD,1.7999999,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_doctrines.c:50; scps\scps_intertrade.c:1053
IMPORT_MARGIN_NONE,2,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_intertrade.c:1054
TRADE_LEVY,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_doctrines.c:47; scps\scps_intertrade.c:1077
DIR_T_HOT,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3996
DIR_T_COLD,0.31999999,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3997
AMPL_TRAUMA_CHARGE,180,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3608
AMPL_TRAUMA_HALF,900,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3643
AMPL_TRAUMA_MAX,2000,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3609
AMPL_TRAUMA_SCALE,500,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3614
AMPL_BUDGET_POP,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3653
AMPL_BUDGET_GOLD,0.0099999998,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3654
AMPL_BUDGET_CAP,400,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3655
AMPL_OMEN_COST,60,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3661
AMPL_OMEN_AMPL,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_events.c,scps\scps_events.c:3662
C3_K_HOLLOW,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\doctrines_demo.c:188; scps\scps_doctrines.c:156; scps\scps_revolt.c:981; scps\scps_revolt.c:981
C3_L_HOLLOW,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_doctrines.c:156; scps\scps_revolt.c:983; scps\scps_revolt.c:983
CONCEDE_GOLD,150,lecture moteur presente,non certifiee individuellement,scps\scps_revolt.c,scps\scps_revolt.c:966
CUREE_CAP,0.22,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:932
CAV_PURSUIT,0.44999999,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:929
CAV_CUREE_CAP,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:932
BT_DMG_K,0.057,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:1021; scps\scps_campaign.c:1023; scps\scps_campaign.c:1024; scps\scps_doctrines.c:32
CTR_BITE,0.60000002,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:791; scps\scps_campaign.c:1015; scps\scps_campaign.c:1015; scps\scps_campaign.c:1016; scps\scps_campaign.c:1016; scps\scps_doctrines.c:32
CTR_PURSUIT,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:930
BT_CHOC_MORTS,0.006,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:1026; scps\scps_campaign.c:1027
BT_RUPTURE,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:800; scps\scps_campaign.c:1040; scps\scps_campaign.c:1041
CHOC_ROUNDS_BONUS,2,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:1039
REGIMENT_PAY,90,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\chronicle.c:1116; scps\scps_warhost.c:525
REGIMENT_PRICE,12,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:242; scps\scps_warhost.c:676
SOLDE_EU4_DIV,13,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:251
SOLDE_ARMS_DIV,26,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:251
SOLDE_FL_FLOOR,6,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:256
SOLDE_FL_PER_REG,0.69999999,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_doctrines.c:36; scps\scps_warhost.c:256
SOLDE_OVER_K,3,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_doctrines.c:36; scps\scps_warhost.c:261
BT_DEF_EDGE,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:766
BT_DECROCHE,0.25999999,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:1065
BT_RELIEF_FALL,30,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:858
BT_ATK_RATIO,1.2000001,lecture moteur presente,non certifiee individuellement,scps\scps_sim.c,scps\scps_sim.c:222
SOLDE_FORTUNE_ARMS,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:248
ARMY_POOL_FRAC,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_army.c,scps\scps_army.c:365
WH_DESERT_RATE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:561
WH_PAY_REVENUE_FRAC,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:598
WH_POOL_CLAMP,1,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:184
WH_ARSENAL_GATE,1,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:316
WH_MILICE_FLOOR,1,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:317
WH_REV_FALLBACK,1,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\chronicle.c:2195; scps\scps_warhost.c:594
WH_PAY_CORPS,1,lecture moteur presente,non certifiee individuellement,scps\scps_warhost.c,scps\scps_warhost.c:492; scps\warhost_demo.c:160; scps\warhost_demo.c:165
DEF_PER_H,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_campaign.c,scps\scps_campaign.c:236; scps\scps_campaign.c:236; scps\scps_doctrines.c:39
SIEGE_LOOT_FRAC,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:1540; scps\scps_diplo.c:1540; scps\scps_doctrines.c:34; scps\scps_doctrines.c:43
PILLAGE_INCOME_FRAC,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:1458; scps\scps_diplo.c:1458; scps\scps_doctrines.c:34; scps\scps_doctrines.c:43
NAVY_UPKEEP_GOLD,90,lecture moteur presente,non certifiee individuellement,scps\scps_navy.c,scps\scps_navy.c:222
AI_SAVOIR_K,2.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1624
AI_FAITH_ZEAL,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1454; scps\scps_ai.c:1571
AI_FAITH_LADDER,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:742; scps\scps_ai.c:766; scps\scps_ai.c:1446; scps\scps_ai.c:1463
TECH_COST_MULT,0.69999999,lecture moteur presente,non certifiee individuellement,scps\scps_tech.c,scps\scps_tech.c:684
TECH_COST_N_EXP,0.64999998,lecture moteur presente,non certifiee individuellement,scps\scps_tech.c,scps\scps_tech.c:677
TECH_RUINS_ACCESS,1,lecture moteur presente,non certifiee individuellement,scps\scps_sim.c,scps\scps_sim.c:1495
RES_MAT_SPREAD,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:3830
RES_GUARANTEE_ALL,1,lecture moteur presente,non certifiee individuellement,scps\scps_world.c,scps\scps_world.c:4011
RES_GEO_GRAFT,0,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1911
CLEAR_GOLD_PER_LAB,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:585
CLEAR_GOLD_MIN,60,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:586
CLEAR_FARMLAND,1,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:866
CLEAR_FARMLAND_CELLS,300,lecture moteur presente,non certifiee individuellement,scps\scps_agency.c,scps\scps_agency.c:867
AI_DERIVE_ODDS,8,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1798; scps\scps_ai.c:1798; scps\scps_doctrines.c:164
AI_THREAT_GATE,0.55000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1875
AI_THREAT_BRAKE,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1876
AI_WAR_LOSING,-25,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:418
AI_ALLY_NEED_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:641
AI_METAB_RES_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_api.c; scps\scps_sim.c,scps\chronicle.c:2511; scps\scps_ai.c:2637; scps\scps_ai.c:2637; scps\scps_api.c:863; scps\scps_api.c:880; scps\scps_api.c:3393; scps\scps_doctrines.c:68; scps\scps_doctrines.c:123; scps\scps_sim.c:1453
AI_RESEARCH_INCOME_W,4.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_api.c; scps\scps_sim.c,scps\scps_ai.c:2455; scps\scps_ai.c:2629; scps\scps_api.c:879; scps\scps_sim.c:1455
SAVOIR_W_ELITE,0.0099999998,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1007
SAVOIR_W_BOURGEOIS,0.0049999999,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\doctrines_demo.c:280; scps\doctrines_demo.c:295; scps\doctrines_demo.c:298; scps\scps_doctrines.c:112; scps\scps_econ.c:1008; scps\scps_econ.c:1008
SAVOIR_W_LABORER,0.0010000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:112; scps\scps_econ.c:1009; scps\scps_econ.c:1009
SAVOIR_LIB_PER,0.067000002,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:111; scps\scps_econ.c:1026; scps\scps_econ.c:1026
SAVOIR_LIB_MAX,0.33000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:111; scps\scps_econ.c:1027; scps\scps_econ.c:1027
TECHPOP,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c; scps\scps_endgame.c; scps\scps_sim.c,scps\scps_econ.c:1034; scps\scps_endgame.c:379; scps\scps_sim.c:1656; scps\scps_sim.c:1679; scps\scps_sim.c:1813
TECHPOP_SAT_FLOOR,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1036
TECHPOP_SAT_SPAN,0.75,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1037
AI_SAVOIR_CATCHUP_FRAC,0.44999999,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:852
COMMERCE_W_BOURGEOIS,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\doctrines_demo.c:174; scps\doctrines_demo.c:177; scps\doctrines_demo.c:181; scps\doctrines_demo.c:271; scps\scps_doctrines.c:51; scps\scps_doctrines.c:144; scps\scps_econ.c:1054; scps\scps_econ.c:1054
COMMERCE_W_ELITE,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:51; scps\scps_econ.c:1055; scps\scps_econ.c:1055
COMMERCE_BLD_PER,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_econ.c,scps\scps_api.c:2020; scps\scps_econ.c:1064
COMMERCE_BLD_MAX,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_econ.c,scps\scps_api.c:2020; scps\scps_econ.c:1064
COMMERCE_ECO_W,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_diplo.c,scps\scps_diplo.c:913
METAB_TIER1,0.1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2274; scps\scps_ai.c:2376
METAB_TIER2,0.2,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2273; scps\scps_ai.c:2376
METAB_TIER3,0.34999999,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2272; scps\scps_ai.c:2377
METAB_TIER12,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2375; scps\scps_ai.c:2375; scps\scps_doctrines.c:68; scps\scps_doctrines.c:122
METAB_COH_PROFOND,0.5,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2310
METAB_BEARER_BAR,1,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2270
METAB_DIFFUSE_SLAVE,0.30000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c; scps\scps_endgame.c,scps\scps_econ.c:966; scps\scps_endgame.c:966
SLAVE_METAB_FLOOR,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c; scps\scps_endgame.c,scps\scps_econ.c:981; scps\scps_endgame.c:1003
SLAVE_FRACTION,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:866
SLAVE_FRACTION_TECH,0.15000001,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:865
SLAVE_GROWTH,1,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\demography_integ_demo.c:177; scps\demography_integ_demo.c:182; scps\scps_econ.c:5477
SLAVE_PRICE,40,lecture moteur presente,non certifiee individuellement,scps\scps_api.c; scps\scps_intertrade.c,scps\scps_api.c:4075; scps\scps_intertrade.c:816; scps\scps_intertrade.c:900
SLAVE_MARKET_CONSERVED,1,lecture moteur presente,non certifiee individuellement,scps\scps_intertrade.c,scps\scps_intertrade.c:853; scps\scps_intertrade.c:936
MIG_PACT_FRAC,0.006,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1030
MIG_PACT_FRAC_ALLY,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1029
MIG_PACT_FRAC_LATE,0.02,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1035
MIG_PACT_MIN,30,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1036; scps\scps_doctrines.c:63
MIG_PACT_ALLY_GATE_DAYS,4380,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1028
REFUGEE_FLEE_SCAR,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1135
REFUGEE_FLEE_FRAC,0.12,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1136
REFUGEE_FLEE_MIN,30,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1137
REFUGEE_HOME_CALM,0.25,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1138
REFUGEE_RETURN_PULL,0.12,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1139; scps\scps_doctrines.c:65
MIGRANT_RETURN_PULL,0.015,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1140
REFUGEE_SETTLE_INTEG,0.89999998,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1141; scps\scps_doctrines.c:65
ASSIM_K_INST_REF,1.5,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1265; scps\scps_demography.c:1265; scps\scps_doctrines.c:64
ASSIM_K_INST_AMP,4,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1265
MIG_ATTRACT_INST_W,1,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:538
MIG_PULL_MAX,5,lecture moteur presente,non certifiee individuellement,scps\scps_demography.c,scps\scps_demography.c:1321
AI_TECH_DIFFUSE_MAX,0.40000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:2431; scps\scps_doctrines.c:114
RAW_BOOST_PER_TIER,0.050000001,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_econ.c,scps\scps_ai.c:1353; scps\scps_doctrines.c:100; scps\scps_econ.c:4315; scps\scps_econ.c:4315; scps\scps_econ.c:5998; scps\scps_econ.c:5998
RAW_BOOST_MAX_TIER,8,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c; scps\scps_econ.c,scps\scps_ai.c:1350; scps\scps_econ.c:4314
RAW_BOOST_COST,40,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1354; scps\scps_doctrines.c:100
RAW_BOOST_PAYBACK,8,lecture moteur presente,non certifiee individuellement,scps\scps_ai.c,scps\scps_ai.c:1352
RAW_WORKS_NEED,25,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_doctrines.c:104; scps\scps_econ.c:6045; scps\scps_econ.c:6045
PLAYER_GUARANTEE_RAW,4,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:1466
COMFORT_JOY,0.079999998,lecture moteur presente,non certifiee individuellement,scps\scps_econ.c,scps\scps_econ.c:5178
